d_0011,infusion drotrecogin alfa activated
d_0012,administration inhaled nitric oxide
d_0013,injection infusion nesiritide
d_0014,injection infusion oxazolidinone class antibiotics
d_0015,high-dose infusion interleukin- il-
d_0017,infusion vasopressor agent
d_0033,computer assisted surgery fluoroscopy
d_0040,procedure single vessel
d_0041,procedure two vessels
d_0042,procedure three vessels
d_0043,procedure four vessels
d_0044,procedure vessel bifurcation
d_0045,insertion vascular stent
d_0046,insertion two vascular stents
d_0047,insertion three vascular stents
d_0048,insertion four vascular stents
d_0051,implantation cardiac resynchronization defibrillator total
d_0052,implantation replacement transvenous lead electrode
d_0055,insertion drug-eluting stents peripheral vessels
d_0061,percutaneous angioplasty extracranial vessels
d_0062,percutaneous angioplasty intracranial vessels
d_0063,percutaneous insertion carotid artery stents
d_0064,percutaneous insertion extracranial artery stents
d_0065,percutaneous insertion intracranial vascular stents
d_0066,percutaneous transluminal coronary angioplasty ptca
d_0071,revision hip replacement acetabular component
d_0074,cryptosporidiosis
d_0084,revision total knee replacement tibial insert liner
d_00845,intestinal infection due clostridium difficile
d_00863,enteritis due norwalk virus
d_00869,enteritis due viral enteritis
d_0088,intestinal infection due organism elsewhere classi
d_0090,infectious colitis enteritis gastroenteritis
d_0091,transplant live related donor
d_0091,colitis enteritis gastroenteritis presumed infectious
d_0092,transplant live non-related donor
d_0093,transplant cadaver
d_0094,intra-operative neurophysiologic monitoring
d_0109,cranial puncture
d_0110,intracranial pressure monitoring
d_0113,closed percutaneous needle biopsy brain
d_0114,open biopsy brain
d_0118,diagnostic procedures brain cerebral meninges
d_0122,removal intracranial neurostimulator leads
d_0123,reopening craniotomy site
d_0124,craniotomy
d_0125,craniectomy
d_0126,insertion catheters cranial cavity tissue
d_0128,placement intracerebral catheters via burr holes
d_0131,incision cerebral meninges
d_0139,incision brain
d_0151,excision lesion tissue cerebral meninges
d_0153,lobectomy brain
d_0159,excision destruction lesion tissue brain
d_016,excision lesion skull
d_0202,elevation skull fracture fragments
d_0203,formation cranial bone flap
d_0204,bone graft skull
d_0205,insertion skull plate
d_0206,cranial osteoplasty
d_0212,repair cerebral meninges
d_0221,insertion replacement external ventricular drain evd
d_0234,ventricular shunt abdominal cavity organs
d_0239,ventricular shunt extracranial site nec
d_0242,replacement ventricular shunt
d_0243,removal ventricular shunt
d_0270,listeriosis
d_0291,lysis cortical adhesions
d_0293,implantation replacement intracranial neurostimulator lead
d_0294,insertion replacement skull tongs halo traction device
d_0302,reopening laminectomy site
d_0309,exploration decompression spinal canal
d_0312,disseminated due mycobacteria
d_0331,spinal tap
d_034,excision destruction lesion spinal cord spinal menin
d_0340,streptococcal sore throat
d_0353,repair vertebral fracture
d_0359,repair plastic operations spinal cord structures
d_0380,streptococcal septicemia
d_03810,staphylococcal septicemia unspecified
d_03811,methicillin susceptible staphylococcus aureus septicemia
d_03812,methicillin resistant staphylococcus aureus septicemia
d_03819,staphylococcal septicemia
d_0382,pneumococcal septicemia streptococcus pneumoniae septicemia
d_0383,septicemia due anaerobes
d_03840,septicemia due gram-negative organism unspecified
d_03842,septicemia due escherichia coli coli
d_03843,septicemia due pseudomonas
d_03844,septicemia due serratia
d_03849,septicemia due gram-negative organisms
d_0388,specified septicemias
d_0389,unspecified septicemia
d_0390,insertion catheter spinal canal infusion therapeu
d_0391,pulmonary actinomycotic infection
d_0391,injection anesthetic spinal canal analgesia
d_0392,injection agent spinal canal
d_0395,spinal blood patch
d_0400,gas gangrene
d_0407,excision avulsion cranial peripheral nerves
d_04082,toxic shock syndrome
d_04100,streptococcus infection conditions elsewhere
d_04110,staphylococcus infection conditions elsewhere
d_04111,methicillin susceptible staphylococcus aureus conditions clas
d_04112,methicillin resistant staphylococcus aureus conditions classi
d_0412,pneumococcus infection conditions elsewhere
d_0412,open biopsy cranial peripheral nerve ganglion
d_0413,friedlnders bacillus infection conditions elsewh
d_04149,unspecified escherichia coli coli
d_0415,hemophilus influenzae influenzae infection conditions cl
d_0416,proteus mirabilis morganii infection conditions classifie
d_0417,pseudomonas infection conditions elsewhere
d_04182,bacteroides fragilis
d_04183,specified bacterial infections conditions el
d_04186,helicobacter pylori pylori
d_0419,bacterial infection unspecified conditions elsew
d_042,human immunodeficiency virus hiv disease
d_043,suture cranial peripheral nerves
d_0441,decompression trigeminal nerve root
d_0443,release carpal tunnel
d_0479,neuroplasty
d_0479,unspecified viral meningitis
d_0481,injection anesthetic peripheral nerve analgesia
d_0529,varicella mention complication
d_0531,injection anesthetic sympathetic nerve analgesia
d_05319,herpes zoster nervous system complications
d_05379,herpes zoster specified complications
d_0539,herpes zoster mention complication
d_05410,genital herpes unspecified
d_0542,herpetic gingivostomatitis
d_0543,herpetic meningoencephalitis
d_05479,herpes simplex specified complications
d_0549,herpes simplex mention complication
d_0611,closed percutaneous needle biopsy thyroid gland
d_062,unilateral thyroid lobectomy
d_0689,parathyroidectomy
d_0701,viral hepatitis mention hepatic coma
d_07020,viral hepatitis hepatic coma acute unspecified witho
d_07030,viral hepatitis mention hepatic coma acute unsp
d_07032,chronic viral hepatitis mention hepatic coma withou
d_07041,acute hepatitis hepatic coma
d_07044,chronic hepatitis hepatic coma
d_07051,acute hepatitis mention hepatic coma
d_07054,chronic hepatitis mention hepatic coma
d_07071,unspecified viral hepatitis hepatic coma
d_0722,unilateral adrenalectomy
d_0762,partial excision pituitary gland transsphenoidal approach
d_07810,viral warts unspecified
d_07811,condyloma acuminatum
d_0782,total excision thymus
d_0785,cytomegaloviral disease
d_07951,human t-cell lymphotrophic virus type i htlv-i
d_0796,respiratory syncytial virus rsv
d_07989,specified viral infection
d_07999,unspecified viral infection
d_0851,canthotomy
d_0852,blepharorrhaphy
d_0881,linear repair laceration eyelid eyebrow
d_08881,lyme disease
d_08882,babesiosis
d_0940,tabes dorsalis
d_0949,neurosyphilis unspecified
d_1101,dermatophytosis nail
d_1103,dermatophytosis groin perianal area
d_1104,dermatophytosis foot
d_1105,dermatophytosis body
